Tier,Agency,Owner,City,Niche,Website,Instagram,Contact,Confidence,LeadWithDemo,Source,Status
2,Himba Tours,,Barcelona/Mataró,Private safaris (Africa); Asia,himbatours.com,,web form / FB DM,Med,Tanzania,himbatours.com/quienes-somos.html,
2,Viatges Manacor,,Manacor (Mallorca),Honeymoons a medida,viatgesmanacor.com,,web form,Med,Maldivas,viatgesmanacor.com/luna-de-miel,
2,Viajes La Villa,,Asturias,Tailor-made; personalized honeymoons,viajeslavilla.es,,web form,Med,Maldivas,viajeslavilla.es,
2,Andara Viajes,,Santander,Honeymoons a medida; active/groups,andaraviajes.com,,web form,Med,Maldivas,andaraviajes.com,
3,Adriana Vilas — Atelier,Adriana Vilas,Madrid,Private luxury Iberia/Morocco from-scratch,adrianavilas.com,,+34 633 490 795 / web form,High,Maldivas,adrianavilas.com,
3,Passport Marks,María & Antonio,Madrid,Boutique 100% personalized; honeymoons,passportmarks.com,@passportmarks,web form / DM,High,Maldivas,passportmarks.com,
3,Weissnor Travel,Carles Artigas,Barcelona,Premium bespoke by-appointment,weissnortravel.com,,web form (appt),High,Tokio,weissnortravel.com,
3,MAC Travel Design,Maria Riveira,Online,Private luxury tailor-made tours,mactraveldesign.com,@mactraveldesign,web form / IG DM,High,Maldivas,mactraveldesign.com/en,
3,Honimunn,,Madrid/Bcn/Valencia,Bespoke honeymoons (digital boutique),honimunn.com,@honimunn,web form / IG DM,High,Maldivas,honimunn.com,
3,Viajes Latitud40,Alberto,Madrid,A medida; honeymoons; safaris; exotic,viajeslatitud40.com,@viajeslatitud40,web form / IG DM,High,Tanzania,viajeslatitud40.com,
3,Atlàntida Viatges,,Barcelona/Sabadell,Tailor-made luxury (Virtuoso),atlantidaviatges.com,@atlantida_travel,LinkedIn,High,Maldivas,atlantidaviatges.com/tu-viaje-de-lujo-a-medida,
3,Eluxtravel Spain,Verónica Aragüés,Online (Spain),Luxury experiential (Virtuoso),eluxtravel.com/es,,web form / LinkedIn,Med,Maldivas,eluxtravel.com/es,
3,Tándem Luxury Travel,,Spain,Bespoke luxury worldwide,tandemluxurytravel.com,@tandemluxurytravel,IG DM,Med,Maldivas,tandemluxurytravel.com,
3,Traveling Soul,María José,Valencia,Authentic bespoke; small-group,travelingsoul.es,@travelingsoul_es,IG DM,Med,Tokio,travelingsoul.es/sobre-mi,
3,Made for Spain & Portugal,,Madrid,Bespoke Iberia DMC (Virtuoso),madeforspainandportugal.com,,LinkedIn,Med,Tokio,madeforspainandportugal.com/meet-the-team,
3,Cirotravel,,Madrid,Viajes de autor; luxury a medida,cirotravel.com,,91 013 98 71 / web form,Med,Maldivas,cirotravel.com,
3,Away Travel Designer,,Sevilla,100% personalized authentic trips,awaytraveldesigner.com,@awaytraveldesigner,+34 669 194 945 / web form,Med,Maldivas,awaytraveldesigner.com/conocenos,
3,Tus Viajes a Medida,,Online,Bespoke long-haul; honeymoons,tusviajesamedida.es,@tus_viajes_a_medida,WhatsApp 670 813 160,Med,Maldivas,tusviajesamedida.es/quienes-somos,
3,Viatum,Pedro & Rocío,Guadalajara,Personalized honeymoons & exotic,viatum.es,@viatumviajes,web form / IG DM,Med,Maldivas,viatum.es/nosotros,
3,MAWAY Travel,,Spain,100% personalized tailor-made,mawaytravel.com,,web form,Med,Maldivas,mawaytravel.com/viajes-a-medida,
3,Lugarex,,Online (ES/PT),Personalized cultural/bespoke,lugarex.com,,web form,Med,Tokio,lugarex.com,
3,Viaje Boutique,,Online,Boutique custom routes,viajeboutique.com,,web form,Med,Tokio,viajeboutique.com,
WARM,Pangea (Rodrigo Peláez),Rodrigo Peláez,Madrid,Your own advisor — booked your Tanzania trip,pangea.es,,rodrigo.pelaez@pangea.es / +34 629 736 738,High,Tanzania,personal contact,
